"","Speaker","Text","Scene","Episode","line_order_in_episode"
"97","miss o'brien"," ""Neither of them were picked up,"" that's what he said.",17,"01x01 - Episode One",97
"98","anna bates"," Mr Crawley and Mr Patrick?",17,"01x01 - Episode One",98
"99","miss o'brien"," That's what he said. Her Ladyship was the colour of this cloth.",17,"01x01 - Episode One",99
"100","gwen"," Well, it's a terrible shame if it's true.",17,"01x01 - Episode One",100
"101","miss o'brien"," It's worse than a shame. It's a complication.",17,"01x01 - Episode One",101
"102","gwen"," Well, what do you mean?",17,"01x01 - Episode One",102
"103","miss o'brien"," What do you think? Mr Crawley was His Lordship's cousin and heir to the title.",17,"01x01 - Episode One",103
"104","gwen"," Well, but I thought Lady Mary was the heir.",17,"01x01 - Episode One",104
"105","miss o'brien"," She's a girl, stupid. Girls can't inherit. But now Mr Crawley's dead, and Mr Patrick was his only son. So, what happens next?",17,"01x01 - Episode One",105
"106","anna bates"," It's a dreadful thing.",17,"01x01 - Episode One",106
"107","mr bates"," Hello. I've been waiting at the back door. I knocked, but no one came.",17,"01x01 - Episode One",107
"108","miss o'brien"," So you pushed in?",17,"01x01 - Episode One",108
"109","mr bates"," I'm John Bates, the new valet.",17,"01x01 - Episode One",109
"110","miss o'brien"," The new valet?",17,"01x01 - Episode One",110
"111","mr bates"," That's right.",17,"01x01 - Episode One",111
"112","miss o'brien"," You're early.",17,"01x01 - Episode One",112
"113","mr bates"," Came on the milk train, thought I'd use the day to get to know the place, start tonight.",17,"01x01 - Episode One",113
"114","anna bates"," I'm Anna, the head housemaid.",17,"01x01 - Episode One",114
"115","mr bates"," How do you do?",17,"01x01 - Episode One",115
"116","miss o'brien"," And I'm Miss O'Brien, Her Ladyship's maid. You better come along with us.",17,"01x01 - Episode One",116
"117","mrs hughes"," But how can you manage?",18,"01x01 - Episode One",117
"118","mr bates"," Don't worry about that. I can manage.",18,"01x01 - Episode One",118
"119","mrs patmore"," Because we've all got our own work to do.",18,"01x01 - Episode One",119
"120","mr bates"," I can manage.",18,"01x01 - Episode One",120
"121","mr carson"," All right, Mrs Hughes, I'll take over, thank you. Good morning, Mr Bates. Welcome. I hope your journey was satisfactory.",18,"01x01 - Episode One",121
"122","mr bates"," It was fine, thank you.",18,"01x01 - Episode One",122
"123","mr carson"," I am the butler at Downton. My name is Carson.",18,"01x01 - Episode One",123
"124","mr bates"," How do you do, Mr Carson?",18,"01x01 - Episode One",124
"125","mr carson"," This is Thomas, first footman. He's been looking after His Lordship since Mr Watson left. It'll be a relief to get back to normal, won't it, Thomas?",18,"01x01 - Episode One",125
"126","mr carson"," I assume that everything is ready for Mr Bates's arrival?",18,"01x01 - Episode One",126
"127","mrs hughes"," I put him in Mr Watson's old room. Though he left it in quite a state, I can tell you.",18,"01x01 - Episode One",127
"128","mrs patmore"," But what about all them stairs?",18,"01x01 - Episode One",128
"129","mr bates"," I keep telling you...I can manage.",18,"01x01 - Episode One",129
"130","anna bates"," Of course you can.",18,"01x01 - Episode One",130
"131","mr carson"," Thomas, take Mr Bates to his room and show him where he'll be working.",18,"01x01 - Episode One",131
"132","mr carson"," Thank you everyone.",18,"01x01 - Episode One",132
"133","miss o'brien"," Well, I can't see that lasting long.",18,"01x01 - Episode One",133
"134","mr carson"," Thank you, Miss O'Brien.",18,"01x01 - Episode One",134
"135","mr bates"," Oh, yes. I shall be comfortable here.",19,"01x01 - Episode One",135
"136","lady mary"," Does this mean I'll have to go into full mourning?",20,"01x01 - Episode One",136
"137","robert, earl of grantham"," My first cousin and his son are almost certainly dead. We will all be in mourning.",20,"01x01 - Episode One",137
"138","lady mary"," No. I mean, with the other thing. After all, it wasn't official.",20,"01x01 - Episode One",138
"139","robert, earl of grantham"," If you're saying you do not wish to mourn Patrick as a fiancé, that is up to you.",20,"01x01 - Episode One",139
"140","lady mary"," Well, no one knew about it outside the family.",20,"01x01 - Episode One",140
"141","robert, earl of grantham"," I repeat, it is up to you.",20,"01x01 - Episode One",141
"142","lady mary"," Well, that's a relief.",20,"01x01 - Episode One",142
"143","thomas"," There's some cedar-lined cupboards in the attics for things that aren't often worn, travelling clothes and such. Mr Watson used them to rotate the summer and winter stuff; I'll show you later.",21,"01x01 - Episode One",143
"144","mr bates"," What about studs and links? Do I choose them, or does he?",21,"01x01 - Episode One",144
"145","thomas"," Lay them out unless he asks for something in particular. These for a ball, these for an ordinary dinner, these only in London.",21,"01x01 - Episode One",145
"146","mr bates"," I'll get the hang of it.",21,"01x01 - Episode One",146
"147","thomas"," Yeah, you'll have to.",21,"01x01 - Episode One",147
"148","thomas"," Snuff boxes. He collects them.",21,"01x01 - Episode One",148
"149","mr bates"," Beautiful. Funny our job, isn't it?",21,"01x01 - Episode One",149
"150","thomas"," What do you mean?",21,"01x01 - Episode One",150
"151","mr bates"," The way we live with all this, pirates horde within our reach. But none of it's ours, is it?",21,"01x01 - Episode One",151
"152","thomas"," No, none of it's ours.",21,"01x01 - Episode One",152
"153","thomas"," I can't believe I've been passed over for Long John Silver.",22,"01x01 - Episode One",153
"154","miss o'brien"," You should've spoken up when you had the chance. Don't make the same mistake next time.",22,"01x01 - Episode One",154
"155","thomas"," Who says there'll be a next time?",22,"01x01 - Episode One",155
"156","mrs hughes"," Is this a public holiday no one's told me of?",22,"01x01 - Episode One",156
"157","robert, earl of grantham"," She was certainly reluctant to go into mourning.",23,"01x01 - Episode One",157
"158","cora, countess of grantham"," Well, she'll have to; we all will. O'Brien's sorting out my black now, and I've told Anna to see what the girls have that still fits. Of course, this alters everything. You won't try to deny it. You must challenge the entail now, surely?",23,"01x01 - Episode One",158
"159","robert, earl of grantham"," Can't we at least wait until we know they're dead before we discuss it?",23,"01x01 - Episode One",159
"160","cora, countess of grantham"," Don't talk as if I'm not broken-hearted, because I am. Of course, I've never understood why this estate must go to whomever inherits your title.",23,"01x01 - Episode One",160
"161","robert, earl of grantham"," My dear, I don't make the law.",23,"01x01 - Episode One",161
"162","robert, earl of grantham"," What is it?",23,"01x01 - Episode One",162
"163","mr carson"," The Dowager Countess is in the drawing room.",23,"01x01 - Episode One",163
"164","robert, earl of grantham"," I'll come now.",23,"01x01 - Episode One",164
"165","mr carson"," She asked for Lady Grantham.",23,"01x01 - Episode One",165
"166","cora, countess of grantham"," I wonder what I've done wrong this time.",23,"01x01 - Episode One",166
"167","mr carson"," And the new valet has arrived, My Lord.",23,"01x01 - Episode One",167
"168","robert, earl of grantham"," Has he? Er...thank you, Carson.",23,"01x01 - Episode One",168
"169","robert, earl of grantham"," What is it?",23,"01x01 - Episode One",169
"170","mr carson"," I'm not entirely sure that he'll prove equal to the task, but Your Lordship will be the judge of that.",23,"01x01 - Episode One",170
"171","cora, countess of grantham"," Better go.",23,"01x01 - Episode One",171
"172","robert, earl of grantham"," Tell her about James and Patrick; she won't have heard.",23,"01x01 - Episode One",172
"173","violet, dowager countess of grantham"," Of course I've heard. Why else would I be here?",24,"01x01 - Episode One",173
"174","cora, countess of grantham"," Robert didn't want you to read about it in a newspaper and be upset.",24,"01x01 - Episode One",174
"175","violet, dowager countess of grantham"," He flatters me. I'm tougher than I look.",24,"01x01 - Episode One",175
"176","violet, dowager countess of grantham"," I'm very sorry about poor Patrick, of course. He was a nice boy.",24,"01x01 - Episode One",176
"177","cora, countess of grantham"," We were all so fond of him.",24,"01x01 - Episode One",177
"178","violet, dowager countess of grantham"," But I never cared for James. He was too like his mother and a nastier woman never drew breath.",24,"01x01 - Episode One",178
"179","cora, countess of grantham"," Will you stay for some luncheon?",24,"01x01 - Episode One",179
"180","violet, dowager countess of grantham"," Thank you.",24,"01x01 - Episode One",180
"181","cora, countess of grantham"," I'll let Carson know.",24,"01x01 - Episode One",181
"182","violet, dowager countess of grantham"," I've already told him. Shall we sit down?",24,"01x01 - Episode One",182
"183","violet, dowager countess of grantham"," Do you know the new heir?",24,"01x01 - Episode One",183
"184","cora, countess of grantham"," Only that there is one.",24,"01x01 - Episode One",184
"185","violet, dowager countess of grantham"," He's Robert's third cousin, once removed. I have never, well, to my knowledge, set eyes on him.",24,"01x01 - Episode One",185
"186","cora, countess of grantham"," Of course, if your late husband hadn't forced me to sign that absurd act of legal theft--",24,"01x01 - Episode One",186
"187","violet, dowager countess of grantham"," My dear, I didn't come here to fight. Lord Grantham wanted to protect the estate. It never occurred to him that you wouldn't have a son.",24,"01x01 - Episode One",187
"188","cora, countess of grantham"," Well, I didn't.",24,"01x01 - Episode One",188
"189","violet, dowager countess of grantham"," No...you did not. But when Patrick had married Mary, and you grandson been hailed as master, honour would have been satisfied. Unfortunately, now...",24,"01x01 - Episode One",189
"190","cora, countess of grantham"," Now a complete unknown has the right to pocket my money, along with the rest of the swag.",24,"01x01 - Episode One",190
"191","violet, dowager countess of grantham"," The problem is, saving your dowry would break up the estate. It would be the ruin of everything Robert's given his life to.",24,"01x01 - Episode One",191
"192","cora, countess of grantham"," And he knows this?",24,"01x01 - Episode One",192
"193","violet, dowager countess of grantham"," Well, if he doesn't, he will.",24,"01x01 - Episode One",193
"194","cora, countess of grantham"," Then there's no answer.",24,"01x01 - Episode One",194
"195","violet, dowager countess of grantham"," Yes, there is, and it's a simple one. The entail must be smashed in its entirety, and Mary recognized as heiress of all.",24,"01x01 - Episode One",195
"196","cora, countess of grantham"," There's nothing we can do about the title.",24,"01x01 - Episode One",196
"197","violet, dowager countess of grantham"," No. She can't have the title. But she can have your money. And the estate. I didn't run Downton for thirty years to see it go lock, stock, and barrel to a stranger from God knows where.",24,"01x01 - Episode One",197
"198","cora, countess of grantham"," Are we to be friends, then?",24,"01x01 - Episode One",198
"199","violet, dowager countess of grantham"," We are allies, my dear, which can be a good deal more effective.",24,"01x01 - Episode One",199
"200","mr carson"," Downton is a great house, Mr Bates, and the Crawleys are a great family. We live by certain standards and those standards can at first seem daunting.",25,"01x01 - Episode One",200
"201","mr bates"," Of course.",25,"01x01 - Episode One",201
"202","mr carson"," If you find yourself tongue-tied in the presence of His Lordship, I can only assure you that his manners and grace will soon help you to perform your duties to the best of your ability.",25,"01x01 - Episode One",202
"203","mr bates"," I know.",25,"01x01 - Episode One",203
"204","robert, earl of grantham"," Bates!",25,"01x01 - Episode One",204
"205","robert, earl of grantham"," My dear fellow. I do apologise, I should have realised you'd all be at luncheon.",25,"01x01 - Episode One",205
"206","mr carson"," Not at all, my lord.",25,"01x01 - Episode One",206
"207","robert, earl of grantham"," Please, sit. Sit, everyone. I just want to say a quick hello to my old comrade in arms. Bates, my dear man, welcome to Downton.",25,"01x01 - Episode One",207
"208","mr bates"," Thank you, sir.",25,"01x01 - Episode One",208
"209","robert, earl of grantham"," I'm so sorry to have disturbed you all. Please forgive me.",25,"01x01 - Episode One",209
"210","mr bates"," You never asked.",25,"01x01 - Episode One",210
"211","mrs patmore"," Thomas, take that up.",25,"01x01 - Episode One",211
"212","mrs patmore"," Easy, Daisy, he's a grown man! I suppose he can lift a meat pie.",25,"01x01 - Episode One",212
"213","mrs patmore"," Now, put that apple tart in the lower oven.",25,"01x01 - Episode One",213
"214","mrs patmore"," Oh, and take that away. Mr Lynch shouldn't have left it there.",25,"01x01 - Episode One",214
"215","daisy mason"," What is it?",25,"01x01 - Episode One",215
"216","mrs patmore"," Salt of sorrel. I asked him for some to clean the brass pots. So, put it somewhere careful; it's poison.",25,"01x01 - Episode One",216
"217","daisy mason"," Seems like a lot of food when you think they're all in mourning.",25,"01x01 - Episode One",217
"218","mrs patmore"," Nothing makes you hungrier or more tired than grief.",25,"01x01 - Episode One",218
"219","mrs patmore"," When my sister died, God rest her soul, I ate my way through four platefuls of sandwiches at one sitting and slept 'round the clock.",25,"01x01 - Episode One",219
"220","daisy mason"," Did it make you feel better?",25,"01x01 - Episode One",220
"221","mrs patmore"," Not much, but it passed the time. Oh, my lord. What was this chopped egg suppose to be sprinkled on?",25,"01x01 - Episode One",221
"222","daisy mason"," Was it the chicken?",25,"01x01 - Episode One",222
"223","mrs patmore"," It was. Take it upstairs now.",25,"01x01 - Episode One",223
"224","daisy mason"," I can't go in the dining room.",25,"01x01 - Episode One",224
"225","mrs patmore"," I should think not! Find Thomas or William and tell them what to do. Oh, for heaven's sake, get a move on, girl, before they get back from church!",25,"01x01 - Episode One",225
"226","robert, earl of grantham"," Well, we've given them a memorial in London and a memorial here.",26,"01x01 - Episode One",226
"227","george murray"," I prefer memorials to funerals, they're less dispiriting.",26,"01x01 - Episode One",227
"228","robert, earl of grantham"," We could hardly have held a funeral without the bodies.",26,"01x01 - Episode One",228
"229","george murray"," I gather they're putting up a stone to mark those whose bodies were never found. In fact, I hear the Canadians are making quite a thing of the Titanic cemetery. I'm surprised at the number they found. You'd think the sea would've taken more of them.",26,"01x01 - Episode One",229
"230","robert, earl of grantham"," So, Murray, what have you to tell me about the lucky Mr Crawley? Nothing too terrible, I hope.",26,"01x01 - Episode One",230
"231","george murray"," I've only made a few inquiries, but no, there's, er, not much to alarm you. Matthew Crawley is a solicitor based in Manchester.",26,"01x01 - Episode One",231
"232","robert, earl of grantham"," Manchester?",26,"01x01 - Episode One",232
"233","george murray"," His special field is company law. His mother is alive and he lives with her, his father obviously is not; he was a doctor.",26,"01x01 - Episode One",233
"234","robert, earl of grantham"," I know. It does seem odd that my third cousin should be a doctor.",26,"01x01 - Episode One",234
"235","george murray"," There are worse professions.",26,"01x01 - Episode One",235
"236","robert, earl of grantham"," Indeed.",26,"01x01 - Episode One",236
"237","daisy mason"," Do me a favour, this is supposed to be sprinkled on the chicken.",27,"01x01 - Episode One",237
"238","william"," Isn't there more to go up?",27,"01x01 - Episode One",238
"239","daisy mason"," Oh, please, it won't take a moment!",27,"01x01 - Episode One",239
"240","william"," All right, give it to me.",27,"01x01 - Episode One",240
"241","george murray"," We ought to talk about the business of the entail. As you know, on your death the heir to the title inherits everything except for the sums set aside for your daughters and your widow.",28,"01x01 - Episode One",241
"242","robert, earl of grantham"," Yes?",28,"01x01 - Episode One",242
"243","george murray"," Owing to the terms of her settlement, this will include the bulk of your wife's fortune.",28,"01x01 - Episode One",243
"244","robert, earl of grantham"," (sigh) It has been our sole topic of conversation since the day the ship went down.",28,"01x01 - Episode One",244
"245","george murray"," Of course, it must seem horribly unjust to Lady Grantham, but that is how the law stands.",28,"01x01 - Episode One",245
"246","robert, earl of grantham"," Is there really no way to detach her money from the estate? Even to me it seems absurd.",28,"01x01 - Episode One",246
"247","george murray"," Your father tied the knots pretty tight; I'd say it's unbreakable.",28,"01x01 - Episode One",247
"248","robert, earl of grantham"," I see.",28,"01x01 - Episode One",248
"249","lady mary"," Really, Edith, do you have to put on such an exhibition?",28,"01x01 - Episode One",249
"250","lady sybil"," She's not.",28,"01x01 - Episode One",250
"251","lady mary"," I was supposed to be engaged to him, for heaven's sake, not you, and I can control myself.",28,"01x01 - Episode One",251
"252","lady edith"," Then you should be ashamed.",28,"01x01 - Episode One",252
"253","mrs patmore"," Oh, don't tell me you haven't sent up the egg yet!",29,"01x01 - Episode One",253
"254","daisy mason"," Oh, God! Help me! Please, God, help me!",29,"01x01 - Episode One",254
"255","gwen"," What on earth's the matter?",29,"01x01 - Episode One",255
"256","daisy mason"," Just run upstairs to the dining room and find William, I beg you!",29,"01x01 - Episode One",256
"257","gwen"," I can't do that now.",29,"01x01 - Episode One",257
"258","daisy mason"," You've got to. I'll be hanged if you don't.",29,"01x01 - Episode One",258
"259","gwen"," What?",29,"01x01 - Episode One",259
"260","william"," Daisy, is that you?",29,"01x01 - Episode One",260
"261","william"," Is it the chicken in a sauce or the plain chicken with sliced oranges?",29,"01x01 - Episode One",261
"262","daisy mason"," Oh, thank you blessed and merciful Lord! Thank you!",29,"01x01 - Episode One",262
"263","daisy mason"," It's the chicken in the sauce. I'll never do anything sinful again, I swear it, not till I die!",29,"01x01 - Episode One",263
"264","cora, countess of grantham"," Mr Murray, how lovely to see you. Do come in.",30,"01x01 - Episode One",264
"265","george murray"," You're very kind, Lady Grantham, but I must get back to London.",30,"01x01 - Episode One",265
"266","cora, countess of grantham"," But you'll stay for luncheon?",30,"01x01 - Episode One",266
"267","george murray"," Thank you, but no. I'll eat on the train. In fact, if you'd be so good as to ask for the motor to be brought 'round?",30,"01x01 - Episode One",267
"268","robert, earl of grantham"," Mm.",30,"01x01 - Episode One",268
"269","cora, countess of grantham"," But didn't you want the afternoon to talk things through?",30,"01x01 - Episode One",269
"270","george murray"," I think we've said everything we have to say, haven't we, my lord?",30,"01x01 - Episode One",270
"271","robert, earl of grantham"," Oh, for the time being, yes. Thank you, Murray. You've given me a good deal to think about.",30,"01x01 - Episode One",271
"272","cora, countess of grantham"," Mary, try to get everyone into the dining room. Edith, make sure old Lord Minturn sits down.",30,"01x01 - Episode One",272
"273","mr carson"," Mm-hmm?",31,"01x01 - Episode One",273
"274","mrs hughes"," They've all gone?",31,"01x01 - Episode One",274
"275","mr carson"," They have, thank the Lord.",31,"01x01 - Episode One",275
"276","mrs hughes"," What about the lawyer?",31,"01x01 - Episode One",276
"277","mr carson"," Oh, he was the first away. Didn't even stay for the luncheon.",31,"01x01 - Episode One",277
"278","mrs hughes"," I wish they'd make their minds up. Gwen's put clean sheets on the blue room bed. Now she'll just have to strip it again.",31,"01x01 - Episode One",278
"279","mr carson"," Can't you leave it for the next guest?",31,"01x01 - Episode One",279
"280","mrs hughes"," Well, only if you don't tell.",31,"01x01 - Episode One",280
"281","mrs hughes"," So...has it all been settled?",31,"01x01 - Episode One",281
"282","mr carson","I don't know if anything's been settled. There's a fellow in Manchester with claims to the title, I gather, but it's all a long way from settled.",31,"01x01 - Episode One",282
"283","mrs hughes"," You mustn't take it personally.",31,"01x01 - Episode One",283
"284","mr carson"," Oh, I do take it personally, Mrs Hughes. I can't stand by and watch our family threatened with the loss of all they hold dear.",31,"01x01 - Episode One",284
"285","mrs hughes","They're not our family.",31,"01x01 - Episode One",285
"286","mr carson"," Well, they're all the family I've got.",31,"01x01 - Episode One",286
"287","mr carson"," I beg your pardon.",31,"01x01 - Episode One",287
"288","mrs hughes"," Do you...ever wish you'd...gone another way?",31,"01x01 - Episode One",288
"289","mrs hughes"," Worked in a shop or a factory? Had a wife and children?",31,"01x01 - Episode One",289
"290","mr carson"," Do you?",31,"01x01 - Episode One",290
"291","mrs hughes"," I don't know. Maybe. Sometimes.",31,"01x01 - Episode One",291
"292","gwen"," William's laid tea in the library, but Her Ladyship hasn't come down.",31,"01x01 - Episode One",292
"293","mrs hughes"," She'll be tired. Take a tray up to her bedroom.",31,"01x01 - Episode One",293
"294","mr carson"," Is Thomas back?",31,"01x01 - Episode One",294
"295","gwen"," Not yet, Mr Carson.",31,"01x01 - Episode One",295
"296","mr carson"," He asked if he could run down the village, I didn't see why not.",31,"01x01 - Episode One",296
"297","miss o'brien"," It's iniquitous. They can't expect you to sit by silent as your fortune is stolen away.",33,"01x01 - Episode One",297
"298","cora, countess of grantham"," Can't they?",33,"01x01 - Episode One",298
"299","miss o'brien"," His Lordship'd never let it happen.",33,"01x01 - Episode One",299
"300","cora, countess of grantham"," How's Bates working out?",33,"01x01 - Episode One",300
"301","miss o'brien"," Well, I don't like to say. Only, it seems unkind to criticize a man for an affliction, milady. And even if it means he can't do his job.",33,"01x01 - Episode One",301
"302","robert, earl of grantham"," How are you settling in?",34,"01x01 - Episode One",302
"303","mr bates"," Very well, I think. Unless Your Lordship feels differently.",34,"01x01 - Episode One",303
"304","robert, earl of grantham"," No complaints?",34,"01x01 - Episode One",304
"305","mr bates"," If I had any, I should take them to Mr Carson, milord, not you.",34,"01x01 - Episode One",305
"306","robert, earl of grantham"," You're probably right. And the house hasn't worn you out with the endless stairs and everything?",34,"01x01 - Episode One",306
"307","mr bates"," I like the house, my lord, and I like it as a place to work.",34,"01x01 - Episode One",307
"308","robert, earl of grantham"," What happened?",34,"01x01 - Episode One",308
